mois,quai,heures_occupees,nombre_escales,jours_mois,heures_disponibles,taux_occupation_pct,debit_escales_par_jour_occupe
2025-12,P1,32.899999999722226,1.0,31,744,4.4220430107153526,0.729483282680931
2025-12,P10,0.0,0.0,31,744,0.0,
2025-12,P11,0.0,0.0,31,744,0.0,
2025-12,P12,0.0,0.0,31,744,0.0,
2025-12,P13,20.999999999722224,1.0,31,744,2.822580645123955,1.1428571428722598
2025-12,P14,20.999999999722224,1.0,31,744,2.822580645123955,1.1428571428722598
2025-12,P15,20.666666666388892,1.0,31,744,2.7777777777404427,1.1612903225962536
2025-12,P16,180.59999999944444,2.0,31,744,24.27419354831242,0.26578073089782756
2025-12,P2,145.3999999997222,1.0,31,744,19.543010752650837,0.1650618982121448
2025-12,P3,0.0,0.0,31,744,0.0,
2025-12,P4,0.0,0.0,31,744,0.0,
2025-12,P5,170.69999999972222,1.0,31,744,22.94354838705944,0.1405975395432868
2025-12,P51,33.09999999972222,1.0,31,744,4.4489247311454605,0.7250755287069912
2025-12,P52,0.0,0.0,31,744,0.0,
2025-12,P6,146.33333333305555,1.0,31,744,19.66845878132467,0.1640091116176234
2025-12,P60,70.39999999972223,1.0,31,744,9.462365591360514,0.34090909091043603
2025-12,P61,59.49999999972222,1.0,31,744,7.997311827919654,0.40336134453969824
2025-12,P7,0.0,0.0,31,744,0.0,
2025-12,P8,0.0,0.0,31,744,0.0,
2025-12,P9,0.0,0.0,31,744,0.0,
2026-01,P1,470.73333333305555,6.0,31,744,63.27060931895908,0.30590567908246347
2026-01,P10,0.0,0.0,31,744,0.0,
2026-01,P11,47.25,1.0,31,744,6.350806451612903,0.5079365079365079
2026-01,P12,586.2333333325,11.0,31,744,78.79480286727151,0.4503326320584101
2026-01,P13,806.0666666663889,6.0,31,744,108.3422939067727,0.17864527334387104
2026-01,P14,342.34999999972223,10.0,31,744,46.01478494619922,0.7010369504898342
2026-01,P15,540.0333333333333,11.0,31,744,72.58512544802866,0.488858712425159
2026-01,P16,796.8666666663888,13.0,31,744,107.10573476698775,0.3915335062328814
2026-01,P2,755.3666666663889,6.0,31,744,101.52777777774045,0.19063589426775465
2026-01,P3,0.0,0.0,31,744,0.0,
2026-01,P4,364.7999999997222,3.0,31,744,49.032258064478796,0.19736842105278185
2026-01,P5,639.5999999997222,3.0,31,744,85.96774193544653,0.1125703564728444
2026-01,P51,737.0999999997222,8.0,31,744,99.07258064512395,0.26048026048035866
2026-01,P52,461.8333333330555,6.0,31,744,62.07437275981928,0.31180079393739435
2026-01,P6,819.4833333333333,5.0,31,744,110.14560931899642,0.1464337285688137
2026-01,P60,334.1,3.0,31,744,44.905913978494624,0.21550434001795868
2026-01,P61,708.9999999997223,9.0,31,744,95.29569892469385,0.30465444287741134
2026-01,P7,550.7,3.0,31,744,74.01881720430109,0.13074269112039222
2026-01,P8,0.0,0.0,31,744,0.0,
2026-01,P9,350.53333333305557,3.0,31,744,47.11469534046446,0.20540129326756482
2026-02,P1,410.3666666663889,6.0,28,672,61.06646825392692,0.3509056940949496
2026-02,P10,0.0,0.0,28,672,0.0,
2026-02,P11,80.11666666666666,1.0,28,672,11.922123015873016,0.29956313709174126
2026-02,P12,717.8166666663889,9.0,28,672,106.817956349165,0.3009124892615342
2026-02,P13,532.3666666663889,3.0,28,672,79.22123015868883,0.13524513180146058
2026-02,P14,363.1,9.0,28,672,54.032738095238095,0.5948774442302396
2026-02,P15,680.3166666663889,10.0,28,672,101.23759920630786,0.35277689311364513
2026-02,P16,371.98333333333335,9.0,28,672,55.3546626984127,0.5806711770240601
2026-02,P2,448.74999999972226,5.0,28,672,66.77827380948249,0.26740947075225463
2026-02,P3,797.8999999997222,8.0,28,672,118.73511904757773,0.24063165810260287
2026-02,P4,560.2999999997222,2.0,28,672,83.37797619043485,0.08566839193293556
2026-02,P5,494.1,3.0,28,672,73.52678571428571,0.14571948998178505
2026-02,P51,572.3666666666667,6.0,28,672,85.17361111111111,0.25158697804437713
2026-02,P52,193.4666666663889,3.0,28,672,28.789682539641205,0.3721571330122504
2026-02,P6,161.3,1.0,28,672,24.00297619047619,0.14879107253564786
2026-02,P60,291.93333333305554,3.0,28,672,43.44246031741898,0.24663165106212095
2026-02,P61,948.4999999997221,8.0,28,672,141.145833333292,0.20242488139173037
2026-02,P7,57.49999999972222,1.0,28,672,8.556547619006283,0.4173913043498425
2026-02,P8,0.0,0.0,28,672,0.0,
2026-02,P9,638.6833333330555,4.0,28,672,95.04216269837136,0.15030922992621554
2026-03,P1,536.8499999997222,10.0,31,744,72.1572580644788,0.4470522492318603
2026-03,P10,0.0,0.0,31,744,0.0,
2026-03,P11,0.0,0.0,31,744,0.0,
2026-03,P12,1053.1833333330555,12.0,31,744,141.55689964153973,0.2734566631324802
2026-03,P13,923.216666666389,6.0,31,744,124.08826164870818,0.15597638690814
2026-03,P14,412.81666666666666,10.0,31,744,55.486111111111114,0.5813718761354919
2026-03,P15,308.7666666663889,7.0,31,744,41.500896057310335,0.544100183526345
2026-03,P16,636.0499999997222,9.0,31,744,85.49059139781212,0.339595943715265
2026-03,P2,405.1333333327778,5.0,31,744,54.45340501784648,0.2961987822943012
2026-03,P3,491.0999999997222,5.0,31,744,66.0080645160917,0.24434941967026652
2026-03,P4,939.4333333330557,6.0,31,744,126.26792114691608,0.15328389454640304
2026-03,P5,0.0,0.0,31,744,0.0,
2026-03,P51,621.0499999997222,8.0,31,744,83.47446236555406,0.30915385234697024
2026-03,P52,543.8166666663889,6.0,31,744,73.0936379927942,0.26479512090485197
2026-03,P6,569.0499999997222,4.0,31,744,76.48521505372611,0.16870222300333337
2026-03,P60,538.5666666663889,5.0,31,744,72.38799283150388,0.22281364114636734
2026-03,P61,682.4333333330555,9.0,31,744,91.7249103942279,0.3165144336444409
2026-03,P7,556.2333333330555,3.0,31,744,74.76254480283005,0.12944208066165752
2026-03,P8,11.133333333333333,1.0,31,744,1.4964157706093189,2.155688622754491
2026-03,P9,421.43333333333334,2.0,31,744,56.64426523297491,0.11389701811278968
2026-04,P1,508.4,8.0,30,720,70.61111111111111,0.37765538945712035
2026-04,P10,92.3,2.0,30,720,12.819444444444445,0.5200433369447454
2026-04,P11,6.999999999722222,1.0,30,720,0.972222222183642,3.4285714287074827
2026-04,P12,1152.016666666389,12.0,30,720,160.00231481477624,0.24999638315423917
2026-04,P13,475.49999999972226,4.0,30,720,66.04166666662809,0.20189274447961317
2026-04,P14,456.2166666666667,11.0,30,720,63.36342592592593,0.5786724144229716
2026-04,P15,615.9333333330555,17.0,30,720,85.54629629625772,0.662409351661734
2026-04,P16,294.28333333305557,6.0,30,720,40.87268518514661,0.48932434728482505
2026-04,P2,527.5833333333334,8.0,30,720,73.27546296296296,0.363923550781867
2026-04,P3,1224.5666666661111,6.0,30,720,170.07870370362653,0.11759261779682499
2026-04,P4,854.8666666658332,8.0,30,720,118.73148148136572,0.22459642829313015
2026-04,P5,0.0,0.0,30,720,0.0,
2026-04,P51,701.2999999994445,6.0,30,720,97.40277777770062,0.20533295308728658
2026-04,P52,332.2,3.0,30,720,46.138888888888886,0.21673690547862734
